DATA RIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tabela 2631 - Número de empregados por atividade econômica segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros - Município do Rio de Janeiro - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bairros,Extrativa mineral,Minerais não-metálicos,Indústria metalúrgica,Indústria mecânica,Indústria do material elétrico e de comunicações,Indústria de material de transporte,Indústria da madeira e do mobiliário,"Indústria do papel, papelão, editorial e gráfica","Indústria da borracha, fumo, couros, peles, similares e diversas","Indústria química de produtos farmacêuticos, veterinários, perfumaria...",Indústria têxtil do vestuário e artefatos de tecidos,Indústria de calçados,"Indústria de produtos alimentícios, bebidas e álcool etílico",Serviços industriais de utilidade pública ,Construção civil,Comércio varejista,Comércio atacadista,"Instituições de crédito, seguros e capitalização","Comércio e administração de imóveis, valores mobiliários, serviços técnicos",Transportes e comunicações,"Serviços de alojamento, alimentação, reparação, manutenção, redação...","Serviços médicos, odontológicos e veterinários",Ensino,Administração pública direta e autárquica,"Agricultura, silvicultura, criação de animais, extrativismo vegetal",Outros/ignorado,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,  9 175,  3 774,  11 884,  8 179,  2 285,  2 610,  1 921,  11 545,  11 176,  28 899,  15 721,   142,  30 204,  37 922,  80 934,  288 448,  66 041,  59 475,  387 592,  134 137,  250 923,  113 186,  132 922,  381 972,  3 148,   0, 2 074 215
V Copacabana,   138,   0,   11,   6,   0,   13,   0,   11,   214,   14,   151,   1,   443,   0,   544,  9 048,   263,   752,  12 289,  1 738,  11 959,  7 287,  1 503,   128,   15,   0,  46 528
Leme,-,-,-,-,-,-,-,-,   2,-,-,-,-,-,   1,   330,   2,   23,   558,   6,   497,   14,-,-,   2,-,  1 435
Copacabana,   138,-,   11,   6,-,   13,-,   11,   212,   14,   151,   1,   443,-,   543,  8 718,   261,   729,  11 731,  1 732,  11 462,  7 273,  1 503,   128,   13,-,  45 093
VI Lagoa,   29,   9,   12,   7,   0,   8,   6,   121,   356,   14,   94,   0,   578,   48,  1 082,  13 698,   597,  1 763,  18 099,  2 609,  19 615,  5 344,  7 383,  5 167,   116,   0,  76 755
Ipanema,   3,-,   2,-,-,   7,-,   33,   161,   9,   28,-,   181,   13,   521,  4 561,   437,   521,  5 347,   696,  5 377,  2 040,   989,-,   70,-,  20 996
Leblon,   1,   5,   2,-,-,   1,   6,   3,   42,   4,   52,-,   190,-,   412,  4 503,   67,   887,  6 045,  1 646,  4 797,  1 020,   617,-,   25,-,  20 325
Lagoa,-,-,-,-,-,-,-,-,-,-,-,-,   8,-,   12,   358,-,   50,  1 603,   5,  1 383,   136,   333,-,-,-,  3 888
Jardim Botânico,-,-,-,   7,-,-,-,   5,   74,-,   4,-,   66,   25,   49,   851,   31,   102,  2 696,   30,  4 402,   683,   739,-,   4,-,  9 768
Gávea,-,   4,-,-,-,-,-,   54,   62,-,   9,-,   120,-,   6,  2 331,   49,   111,  1 279,   148,  2 266,  1 330,  4 437,  5 167,   16,-,  17 389
Vidigal,-,-,   1,-,-,-,-,-,   2,-,   1,-,-,   10,   1,   185,-,   77,   168,   45,   522,   3,   133,-,-,-,  1 148
São Conrado,   25,-,   7,-,-,-,-,   26,   15,   1,-,-,   13,-,   81,   909,   13,   15,   961,   39,   868,   132,   135,-,   1,-,  3 241
XXVII Rocinha,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2
Rocinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,   2,-,-,-,-,-,-,-,-,-,-,   2
Região de Planejamento 2.2,   765,   1,   43,   8,   2,   0,   3,   150,   321,  1 059,   319,   0,   971,   35,  2 980,  15 978,  1 134,  1 647,  22 145,  3 673,  16 363,  10 543,  17 560,  4 111,   13,   0,  99 824
VIII Tijuca,   0,   1,   31,   4,   2,   0,   3,   97,   307,   6,   262,   0,   537,   35,  1 427,  11 372,   484,  1 003,  14 599,  1 447,  10 175,  7 987,  4 688,   711,   13,   0,  55 191
Praça da Bandeira,-,-,   2,-,-,-,-,   2,   89,   1,   118,-,   81,   1,   727,  1 092,   207,   43,  4 012,   635,  2 183,   65,   151,-,   12,-,  9 421
Tijuca,-,-,   29,   4,   2,-,   3,   95,   184,   5,   144,-,   440,   34,   694,  10 205,   277,   954,  10 013,   664,  7 796,  7 919,  4 415,   711,-,-,  44 588
Alto da Boa Vista,-,   1,-,-,-,-,-,-,   34,-,-,-,   16,-,   6,   75,-,   6,   574,   148,   196,   3,   122,-,   1,-,  1 182
